FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2019-10-08 14:41:22,2019-11-18,5,0,4
2,"二","two",2019-10-08 14:41:18,2019-11-17,5,0,4
3,"三","three",2019-10-07 01:04:31,2019-11-12,5,0,4
4,"四","four",2019-10-08 14:30:31,2019-11-17,5,0,4
5,"五","five",2019-10-20 05:32:56,2019-12-04,6,0,5
6,"六","six",2019-10-07 01:04:31,2019-11-14,5,0,4
7,"七","seven",2019-10-06 12:50:19,2019-11-04,5,0,4
8,"八","eight",2019-10-27 12:00:08,2019-12-13,6,0,5
9,"九","nine",2019-10-08 14:31:42,2019-11-05,5,0,4
10,"十","ten",2019-10-08 14:37:56,2019-11-13,5,0,4
11,"口","mouth",2019-10-08 14:41:22,2019-11-18,5,0,4
12,"日","day",2019-10-08 14:31:42,2019-11-19,5,0,4
13,"月","month",2019-10-08 14:31:42,2019-11-20,5,0,4
14,"田","rice field",2019-10-08 14:30:31,2019-11-17,5,0,4
15,"目","eye",2019-10-08 14:39:59,2019-11-13,5,0,4
16,"古","old",2019-10-19 10:45:25,2019-12-06,6,0,5
17,"吾","I",2019-11-01 03:35:48,2019-11-04,2,2,8
18,"冒","risk",2019-10-31 03:03:32,2019-12-30,6,0,5
19,"朋","companion",2019-11-01 03:35:13,2019-12-24,6,0,5
20,"明","bright",2019-10-08 17:22:20,2019-12-07,6,0,5
21,"唱","chant",2019-10-09 14:24:13,2019-11-29,6,0,5
22,"晶","sparkle",2019-10-09 14:22:23,2019-12-02,6,0,5
23,"品","goods",2019-10-27 12:12:44,2019-12-11,6,0,5
24,"呂","spine",2019-10-09 14:24:13,2019-11-28,6,1,5
25,"昌","prosperous",2019-10-08 16:42:42,2019-11-30,6,1,5
26,"早","early",2019-10-08 17:02:38,2019-11-29,6,0,5
27,"旭","rising sun",2019-10-31 12:56:41,2019-11-23,5,1,8
28,"世","generation",2019-10-09 14:25:26,2019-11-23,6,0,5
29,"胃","stomach",2019-10-06 11:37:12,2019-11-05,5,0,4
30,"旦","nightbreak",2019-10-09 14:03:03,2019-11-26,6,0,5
31,"胆","gall bladder",2019-10-08 16:44:12,2019-12-01,6,1,5
32,"亘","span",2019-10-08 16:49:14,2019-11-25,6,0,5
33,"凹","concave",2019-10-30 03:29:04,2019-12-27,6,0,5
34,"凸","convex",2019-10-08 17:00:26,2019-11-22,6,0,5
35,"旧","olden times",2019-10-31 03:04:34,2019-12-30,6,2,7
36,"自","oneself",2019-10-31 03:07:10,2019-12-18,6,0,5
37,"白","white",2019-10-09 14:18:05,2019-11-25,6,0,5
38,"百","hundred",2019-10-07 01:05:18,2019-11-16,5,0,4
39,"中","in",2019-10-11 02:38:37,2019-12-25,6,0,5
40,"千","thousand",2019-10-19 10:45:25,2019-12-03,6,0,5
41,"舌","tongue",2019-10-19 10:46:37,2019-11-13,5,1,6
42,"升","measuring box",2019-10-09 14:04:26,2019-12-02,6,0,5
43,"昇","rise up",2019-10-27 12:11:19,2019-11-21,5,2,8
44,"丸","round",2019-10-09 14:16:36,2019-12-02,6,1,6
45,"寸","measurement",2019-11-02 05:51:02,2019-12-27,6,2,7
46,"肘","elbow",2019-11-02 05:47:51,2019-12-30,6,2,6
47,"専","specialty",2019-11-02 05:46:27,2019-11-17,4,5,6
48,"博","Dr.",2019-10-09 13:59:22,2019-12-04,6,1,5
49,"占","fortune-telling",2019-10-08 17:02:38,2019-12-07,6,0,5
50,"上","above",2019-10-08 14:31:42,2019-11-17,5,0,4
51,"下","below",2019-10-07 01:04:31,2019-11-16,5,0,4
52,"卓","eminent",2019-10-31 03:06:29,2019-12-25,6,0,5
53,"朝","morning",2019-10-31 03:08:00,2019-12-19,6,0,5
54,"嘲","derision",2019-10-31 03:02:32,2019-11-15,4,3,8
55,"只","only",2019-10-27 11:57:29,2019-12-24,6,0,5
56,"貝","shellfish",2019-10-06 11:54:49,2019-11-12,5,0,4
57,"唄","pop song",2019-10-06 12:06:02,2019-11-04,5,0,4
58,"貞","upright",2019-10-31 12:56:41,2019-12-30,6,1,5
59,"員","employee",2019-11-03 03:31:35,2020-01-03,6,0,5
60,"貼","post a bill",2019-10-27 12:15:45,2019-11-11,4,3,10
61,"見","see",2019-10-08 14:39:59,2019-11-05,5,0,4
62,"児","newborn babe",2019-10-08 17:03:49,2019-11-28,6,0,5
63,"元","beginning",2019-10-09 14:18:03,2019-12-08,6,0,5
64,"頁","page",2019-10-09 14:10:08,2019-12-03,6,0,5
65,"頑","stubborn",2019-10-06 11:40:46,2019-11-05,5,1,5
66,"凡","mediocre",2019-10-31 12:56:41,2019-12-30,6,0,5
67,"負","defeat",2019-10-08 17:12:44,2019-11-29,6,0,5
68,"万","ten thousand",2019-10-13 08:24:42,2019-11-30,6,0,5
69,"句","phrase",2019-10-28 03:45:49,2019-12-19,6,0,5
70,"肌","texture",2019-10-12 13:14:05,2019-11-26,6,1,5
71,"旬","decameron",2019-10-09 14:24:13,2019-12-04,6,0,5
72,"勺","ladle",2019-10-10 02:49:55,2019-12-03,6,0,5
73,"的","bull's eye",2019-10-09 14:12:15,2019-12-08,6,1,5
74,"首","neck",2019-10-06 12:48:42,2019-11-05,5,0,4
75,"乙","fish guts",2019-11-03 03:25:37,2019-12-30,6,0,5
76,"乱","riot",2019-10-31 03:06:29,2019-12-29,6,0,5
77,"直","straightaway",2019-10-09 14:33:33,2019-11-27,6,0,5
78,"具","tool",2019-11-03 03:28:54,2019-12-24,6,0,5
79,"真","true",2019-10-08 17:12:44,2019-11-27,6,0,5
80,"工","craft",2019-10-10 02:49:18,2019-12-04,6,0,5
81,"左","left",2019-10-06 12:57:04,2019-11-04,5,0,4
82,"右","right",2019-10-09 14:14:49,2019-11-28,6,0,5
83,"有","possess",2019-10-06 12:51:55,2019-11-05,5,2,5
84,"賄","bribe",2019-11-01 03:23:27,2019-12-22,6,1,5
85,"貢","tribute",2019-11-03 03:31:35,2019-12-26,6,0,5
86,"項","paragraph",2019-10-31 03:06:29,2019-11-30,5,3,9
87,"刀","sword",2019-10-08 17:13:56,2019-11-22,6,0,5
88,"刃","blade",2019-10-08 17:21:12,2019-12-04,6,0,5
89,"切","cut",2019-11-01 03:35:13,2019-11-13,4,2,7
90,"召","seduce",2019-11-02 05:46:27,2019-12-01,5,2,7
91,"昭","shining",2019-11-01 03:23:27,2019-11-23,5,3,9
92,"則","rule",2019-10-12 13:20:10,2019-12-08,6,0,5
93,"副","vice-",2019-10-11 02:38:37,2019-12-02,6,1,5
94,"別","separate",2019-10-31 12:56:41,2019-11-26,5,2,8
95,"丁","street",2019-10-09 14:08:26,2019-11-25,6,1,5
96,"町","village",2019-10-31 12:56:41,2019-11-26,5,5,10
97,"可","can",2019-10-31 03:11:34,2019-12-23,6,0,5
98,"頂","place on the head",2019-10-07 01:01:53,2019-11-04,5,2,5
99,"子","child",2019-10-08 14:26:08,2019-11-20,5,0,4
100,"孔","cavity",2019-10-11 02:41:28,2019-12-02,6,0,5
101,"了","complete",2019-10-08 17:02:38,2019-11-22,6,1,5
102,"女","woman",2019-10-08 14:35:46,2019-11-12,5,0,4
103,"好","fond",2019-10-08 17:08:28,2019-11-30,6,0,5
104,"如","likeness",2019-10-08 16:47:16,2019-12-05,6,1,4
105,"母","mama",2019-10-12 13:16:33,2019-12-05,6,0,5
106,"貫","pierce",2019-10-08 17:08:28,2019-12-07,6,0,5
107,"兄","elder brother",2019-10-31 03:16:04,2019-12-22,6,1,6
108,"呪","curse",2019-10-08 17:10:51,2019-12-07,6,1,5
109,"克","overcome",2019-11-03 03:30:02,2019-11-28,5,1,7
110,"小","little",2019-11-02 05:47:51,2019-12-23,6,0,5
111,"少","few",2019-10-08 14:45:13,2019-11-24,6,0,5
112,"大","large",2019-10-09 14:08:26,2019-11-27,6,0,5
113,"多","many",2019-10-31 03:05:39,2019-12-26,6,0,5
114,"夕","evening",2019-10-31 03:06:29,2019-12-18,6,0,5
115,"汐","eventide",2019-11-01 03:21:01,2019-12-26,6,0,5
116,"外","outside",2019-10-09 14:10:08,2019-11-24,6,0,5
117,"名","name",2019-10-08 14:41:18,2019-11-04,5,0,4
118,"石","stone",2019-10-28 03:50:00,2019-12-26,6,0,5
119,"肖","resemblance",2019-10-08 16:44:12,2019-11-23,6,1,5
120,"硝","nitrate",2019-10-08 17:10:51,2019-11-22,6,0,5
121,"砕","smash",2019-10-06 13:07:15,2019-11-04,5,1,4
